id,x,y,cluster
50,30355.564178501805,32726.004831572558,9
50,30360.291914759506,32726.38113854471,8
50,30306.35355870978,32724.300779705365,8
50,30311.346939483232,32724.786275028513,8
50,30316.52971930908,32725.027539701565,8
50,30314.23478464358,32726.877107426393,8
50,30303.010788601005,32727.360216113535,8
50,30315.01709419083,32730.573276898984,8
50,30316.800548601404,32734.686780717588,8
50,30317.14258703323,32739.559710937116,4
53,29937.253574783805,32947.31562196141,8
53,29942.78797375333,32947.98582734816,8
53,29948.13544448768,32948.97539027751,8
54,29931.532247579104,32946.96477411726,8
54,29928.53523823739,33004.70043791717,8
54,29932.650572467704,33005.18210077649,4
54,29937.358491846004,33005.503146127885,4
54,29942.484568956905,33005.92855877136,8
54,29948.028803800404,33006.458338706914,8
55,30883.164685257205,33220.89878129448,8
55,30877.939910551904,33221.01962496849,8
55,30872.894708831005,33221.15525703816,8
68,30098.606568688778,32368.712328021436,9
68,30102.042866586402,32369.394500154143,9
68,30090.384688259102,32408.79127414259,8
68,30089.509160074005,32414.137332121783,8
68,30088.44423798088,32419.74342501971,8
68,30087.18992197973,32425.60955283636,8
68,30085.844594878206,32431.460393085465,8
68,30089.130757674455,32428.93915659483,8
68,30094.537341213403,32430.537197520236,8
68,30100.214520900703,32432.94019967074,8
68,30105.58668054008,32434.89226922294,8
68,30110.653820131527,32436.393406176838,8
68,30115.462690150354,32438.024500226915,8
68,30120.013290596555,32439.785551373163,8
71,30084.408256676306,32437.295945767008,8
71,30082.998970284854,32442.92181921474,8
71,30081.616735703858,32448.338013428634,8
71,30080.527198105505,32453.248481026014,8
71,30079.730357489807,32457.653222006862,8
71,30078.837593652104,32462.317466329267,8
71,30077.848906592408,32467.241213993213,4
71,30110.653820131527,32436.393406176838,8
71,30115.462690150354,32438.024500226915,8
71,30120.013290596555,32439.785551373163,8
71,30124.58602787488,32441.459500772915,4
71,30129.180901985328,32443.046348426164,4
71,30133.815131252853,32444.544019485314,4
71,30138.488715677457,32445.95251395036,4
71,30143.270531625858,32447.38015941681,4
71,30148.160579098054,32448.826955884666,4
71,30094.537341213403,32430.537197520236,8
71,30100.214520900703,32432.94019967074,8
71,30105.58668054008,32434.89226922294,8
71,30077.103733897806,32472.124045886063,4
71,30076.602075568306,32476.965962007816,4
71,30076.789152336532,32481.98186857799,4
73,29990.49601976648,33721.15304771121,0
74,30077.22123357548,32542.039196060185,11
84,29950.345659467755,32820.69572203966,9
