id,maxHeight,totalGFA,residentialGFA,commercialGFA,civicGFA,otherGFA,siteCoverage,footprintArea,siteArea
62,11,406.1250678300822,406.1250678300822,0.0,0.0,0.0,0.7069690089701102,110.76138213554475,156.67077443309486
63,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.751941649459642
64,13,14.428004055404886,14.428004055404886,0.0,0.0,0.0,0.6012125165246746,3.3295393974045924,5.538040719197076
65,14,46.64829495615837,46.64829495615837,0.0,0.0,0.0,0.9896556827259483,24.072347995424646,24.323962783822736
66,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0655477328546112e-11
67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43691970259363583
68,13,8003.216882271737,8003.216882271737,0.0,0.0,0.0,0.5378386238152755,2218.1892824578695,4124.265503140441
69,11,36.80533872829417,36.80533872829417,0.0,0.0,0.0,0.9783581833989828,10.037819653327661,10.25986169855969
70,15,26.723962207874443,26.723962207874443,0.0,0.0,0.0,0.13953835609382173,5.344792441346187,38.30339263673493
71,15,11620.671095812673,11620.671095812673,0.0,0.0,0.0,0.5703678781964311,3117.2163520919025,5465.273328415512
72,8,147.78870320137676,147.78870320137676,0.0,0.0,0.0,0.9973654861354404,55.42076370082429,55.56715614410007
73,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.52088816591268
74,13,1147.473775022958,1147.473775022958,0.0,0.0,0.0,0.658992374636399,264.80164038932224,401.82807962751815
75,11,2.933088861578183,2.933088861578183,0.0,0.0,0.0,1.0000000000000002,0.799933325894253,0.7999333258942529
76,17,1831.0380807208617,1831.0380807208617,0.0,0.0,0.0,0.8618915783985454,323.12436718472435,374.9014090439449
77,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.901386939882558
78,16,249.92434045665885,249.92434045665885,0.0,0.0,0.0,0.1839926920471672,46.86392467851422,254.70535898513015
79,15,2705.790421761112,2705.790421761112,0.0,0.0,0.0,0.5844142310105709,597.1735247103998,1021.8326197802636
80,8,35.06740362606062,35.06740362606062,0.0,0.0,0.0,0.6521816961961822,13.150276359772402,20.16351645020206
81,12,89.51124333974303,89.51124333974303,0.0,0.0,0.0,0.4408226535367688,33.27471785654002,75.48323025047213
82,9,132.09953822411345,132.09953822411345,0.0,0.0,0.0,0.46054177130276486,44.03317940849993,95.61169507803902
83,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.816675150552623
84,8,7.409063705456425e-12,7.409063705456425e-12,0.0,0.0,0.0,2.7229163117658457e-13,2.7783988895519775e-12,10.203761597616456
85,22,1537.2813248488471,1537.2813248488471,0.0,0.0,0.0,0.6067126095116144,475.75031383598116,784.1444307856829
86,14,686.7061076132368,686.7061076132368,0.0,0.0,0.0,0.6664617083298041,243.0513584975319,364.68915687089395
87,14,7.172689984679764,7.172689984679764,0.0,0.0,0.0,0.8961664334826271,1.5370049967534989,1.7150887818688814
88,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8286167553747
89,11,75.82418616175728,75.82418616175728,0.0,0.0,0.0,0.8901630722465714,23.258309824549873,26.12814499915294
90,9,135.342848462686,135.342848462686,0.0,0.0,0.0,0.7392967133284886,45.114282821372626,61.023242776580815
